x_coord,y_coord,cluster
639,720,9
355,718,2
627,707,9
367,704,2
657,702,9
335,700,2
614,695,9
378,691,2
670,690,9
644,689,9
326,689,2
347,687,2
633,677,9
338,677,2
657,676,9
359,674,2
688,671,9
307,671,2
349,663,2
676,659,9
294,659,2
318,658,2
703,657,9
330,646,2
306,646,2
690,644,9
275,640,2
722,638,3
320,634,2
678,632,9
288,627,2
733,626,3
709,626,3
261,625,2
301,616,2
722,613,3
696,613,3
273,611,2
752,607,3
242,605,8
709,602,3
763,596,3
740,595,3
254,592,8
231,592,8
726,585,3
752,583,3
782,580,3
242,578,8
213,575,8
739,570,3
769,568,3
254,564,8
222,561,8
194,558,4
756,557,3
234,548,8
207,545,8
177,538,4
221,536,8
168,528,4
191,527,4
288,525,8
179,515,4
204,514,4
302,513,8
148,512,4
272,506,8
316,502,8
191,501,4
160,498,4
130,497,4
286,494,8
150,490,4
729,488,5
264,487,8
171,484,4
299,483,8
157,483,4
113,482,4
716,476,5
135,475,4
747,470,5
278,470,8
141,467,4
703,463,5
755,462,5
281,460,8
734,458,5
260,455,8
742,449,5
722,445,5
773,443,5
730,437,5
761,431,5
748,419,5
102,389,7
84,389,7
102,367,7
84,367,7
102,348,7
84,348,7
101,321,7
84,321,7
87,304,7
104,302,7
889,287,11
907,286,11
870,286,11
83,278,7
101,276,7
888,265,11
906,264,11
871,264,11
208,255,1
117,255,7
190,253,1
100,253,7
173,251,1
82,249,7
905,245,11
888,245,11
870,245,11
813,232,6
795,231,6
778,230,6
212,230,1
121,230,10
194,227,1
104,227,10
888,224,11
870,224,11
178,224,1
87,224,10
906,223,11
814,210,6
797,210,6
778,210,6
200,207,1
87,207,10
874,203,0
105,203,10
122,201,10
194,199,1
892,197,0
909,191,0
216,191,1
173,191,1
795,190,6
813,189,6
777,189,6
209,184,1
867,182,0
82,180,10
884,176,0
188,176,1
100,176,10
117,174,10
900,170,0
813,168,6
796,168,6
778,168,6
87,165,10
104,162,10
876,159,0
122,159,10
855,148,0
895,146,0
875,142,0
82,139,10
100,136,10
117,133,10
890,124,0
900,122,0
101,120,10
119,118,10
98,93,10
116,92,10
